Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:13:32 AM,N,O,49728,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:35 AM,N,O,49730,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:39 AM,N,O,49729,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:42 AM,N,O,49774,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:43 AM,N,O,49779,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:45 AM,N,O,49780,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:51 AM,N,O,49790,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:55 AM,N,O,49860,19283,302.7,320,0,0,0,0,0
7/1/2026 9:13:57 AM,N,O,49870,19283,302.7,320,0,0,0,0,0
7/1/2026 9:14:01 AM,N,O,49871,19283,302.7,320,0,0,0,0,0
7/1/2026 9:14:03 AM,N,O,49867,19287,302.7,320,0,0,0,0,0
7/1/2026 9:14:04 AM,N,O,49869,19287,302.7,320,0,0,0,0,0
7/1/2026 9:14:08 AM,N,O,49841,19316,302.7,320,0,0,0,0,0
7/1/2026 9:14:10 AM,N,O,49891,19316,302.7,320,0,0,0,0,0
7/1/2026 9:14:11 AM,N,O,49932,19275,302.7,320,0,0,0,0,0
7/1/2026 9:14:15 AM,N,O,49933,19275,302.7,320,0,0,0,0,0
7/1/2026 9:14:16 AM,N,O,49949,19275,302.7,320,0,0,0,0,0
7/1/2026 9:14:18 AM,N,O,49976,19275,302.7,320,0,0,0,0,0
7/1/2026 9:14:23 AM,N,O,50076,19275,302.7,320,0,0,0,0,0
7/1/2026 9:14:25 AM,N,O,50080,19290,302.7,320,0,0,0,0,0
7/1/2026 9:14:28 AM,N,O,50060,19290,302.7,320,0,0,0,0,0
7/1/2026 9:14:33 AM,N,O,50059,19290,302.7,320,0,0,0,0,0
